external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
NOP14,838.8743101,727.0361918,969.1500018,1714.899035,859.8613902,749.7585769,1305.31665,2008.674982,776.313792,837.6363991,1281.050979,1283.267924
ADD1,7339.106837,8322.019289,8310.120016,7872.500141,7577.102466,8841.690781,10350.44905,11555.05814,9988.276313,11410.42706,10003.62789,9747.124054
L2HGDH,140.855761,183.4397789,111.0200002,114.9205068,183.0735463,182.714275,98.72940483,93.18595277,212.0231125,225.5174921,103.519271,93.56136053
TXNDC16,148.1593931,171.9147666,282.1000005,141.646206,164.5714326,169.0632085,155.6886768,83.86735749,160.1216214,189.5104975,199.4902619,207.804706
RTRAF,2495.75541,2289.635774,2116.660004,2284.156429,2740.260421,2471.893123,2500.512042,2546.04731,3258.751067,3019.849778,3072.150033,2620.702951
NID2,8093.467691,6837.21354,2933.840006,7339.76787,7134.025532,4963.737805,4864.32183,9716.188676,3170.408103,1651.583986,3663.072539,6456.718733
GMCL1,1015.204855,1079.509484,667.0300013,600.4373764,1061.43705,1243.297136,552.5049386,474.2129597,1427.843148,1513.241323,805.5093278,750.4605971
SF3B2,4196.458303,4043.358478,4685.590009,5692.573939,4370.394019,4253.882346,6715.498171,9085.630395,5632.968212,5239.017704,6091.462106,5668.833591
KLHL42,1195.708905,1341.703514,1861.860004,2044.515992,946.529186,930.3726879,1121.148338,1185.532399,425.150512,463.3531664,790.4127675,1056.750946
GNAS,16101.37855,17949.24622,22091.16004,22981.42878,18777.69783,21729.34766,28315.40344,33673.26173,34295.84273,37531.60648,28386.92511,31867.98425
DNM1L,1604.7123,2083.145971,2802.800005,3643.603664,1494.776029,1848.144391,3091.939149,2383.489592,1484.161787,1837.304273,3171.356001,3549.422561
PTHLH,36.51816027,6.722923835,5.46000001,24.94398596,27.26627285,8.400656324,32.27692081,8.283195802,46.38005585,3.79020995,115.3808542,6.893994986
PHACTR3,0.0,3.841670763,0.0,0.0,1.947590918,2.100164081,0.0,0.0,2.208574088,0.0,2.15665148,0.984856427
ERGIC2,1740.351181,1898.745774,1578.850003,1372.810085,2042.049077,1975.204318,1920.476788,1038.505674,3044.51938,2930.779844,2672.091184,2153.881005
TFAP2C,0.0,0.0,0.0,1.781713283,0.0,0.0,0.0,1.035399475,0.0,1.895104975,0.0,0.984856427
AURKA,142.942513,100.8438575,72.80000014,786.6264145,144.1217279,92.40721956,672.1194098,1168.966008,215.3359736,198.0384699,235.0750113,532.8073268
CASS4,62.60256046,29.77294841,24.57000005,65.03253483,49.6635684,73.50574283,152.8407132,259.8852683,146.8701769,136.4475582,314.8711161,378.1848678
PIR,1200.925785,791.3841771,558.7400011,242.3130065,926.0794814,614.2979937,203.1547369,282.6640567,430.6719472,373.3356801,189.7853302,183.1832953
AAMDC,479.9529635,373.6024817,432.2500008,356.3426566,600.8317981,604.8472553,723.3827546,755.8416169,929.8096911,1011.986057,636.2121866,500.3070647
RFX2,169.0269132,106.6063637,185.6400003,73.05024461,184.0473417,132.3103371,173.7257796,96.2921512,173.3730659,143.0804256,115.3808542,79.77337055
METTL2A,315.0995543,330.3836856,329.4200006,401.7763453,337.9070242,360.1781399,398.7149041,604.6732935,390.9176136,476.6189013,405.4504783,406.7457042
SULT2B1,4.17350403,8.643759216,9.100000017,1.781713283,5.842772753,9.450738364,6.645248402,10.35399475,5.52143522,20.84615473,4.31330296,3.939425706
ALG6,143.985889,139.2605651,238.4200004,180.8438982,181.1259554,178.5139469,269.6072209,156.3453208,241.8388626,253.9440667,259.8765034,250.1535324
CNOT3,786.7055097,728.9570272,723.4500014,878.3846486,743.9797306,784.4112842,930.3347763,1062.319862,757.5409122,744.7762553,728.9482003,746.5211714
GP6,2.086752015,1.920835381,0.0,0.0,6.816568212,1.05008204,1.898642401,2.07079895,17.6685927,14.21328731,6.46995444,0.984856427
PTPN4,850.3514462,901.8322115,537.810001,384.8500691,823.8309582,771.8102998,349.3502017,168.7701145,791.7738106,559.0559677,365.5524259,364.3968778
DDX18,847.2213182,604.1027274,1474.200003,1695.300189,789.7481172,701.454803,1392.654201,1194.850994,668.0936616,634.8601667,1578.668883,1323.647037
KHSRP,1869.729806,1771.010222,2748.200005,3402.181514,1855.080349,1590.874291,3409.961751,4910.899711,1811.030752,1733.0735,2679.639464,2609.86953
GNA11,2734.688516,2916.788526,3674.580007,3641.821951,2694.492035,2766.966177,4643.129991,6409.122752,2671.27036,2845.50012,4096.559486,3791.697242
ASAP3,2047.103727,2710.298723,4502.680008,1918.014349,1701.220667,2082.312686,1902.439685,1330.488326,1172.752841,1808.877699,1146.260262,1421.147824
EDEM2,202.4149455,182.4793612,548.730001,659.2339147,179.1783644,178.5139469,749.014427,941.178123,192.1459457,171.5070003,570.4343165,626.3686873
DNMT3B,70.94956852,58.58547913,25.48000005,53.45139849,64.27050029,49.3538559,69.30044762,86.97355592,85.03010239,59.69580672,26.9581435,42.34882634
REM1,2.086752015,1.920835381,7.280000014,21.3805594,1.947590918,0.0,7.594569602,14.49559265,0.0,0.947552488,6.46995444,2.95456928
TPX2,338.0538265,211.2918919,505.050001,3071.6737,282.4006831,231.0180489,2410.326527,3648.747751,326.868965,376.1783376,988.8247036,1531.451743
FER1L4,176.3305453,99.88343983,54.6000001,14.25370626,114.9078641,100.8078759,17.0877816,13.46019318,43.06719472,70.11888408,42.05470386,63.0308113
PDRG1,609.3315884,661.7277889,435.8900008,636.9624987,688.4733894,650.0007831,552.5049386,785.8682017,895.5767927,676.5524762,558.5727333,464.8522333
EPB41L1,1534.806107,1903.547863,2782.780005,2339.389541,1178.292505,1316.802879,1879.655977,1994.179389,483.6777253,487.0419786,1429.859931,2252.366648
SLC15A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984856427
